Company Name,Sector,Market Cap,Stock P/E,Year,Revenue,Net Profit
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2016,1674.0,54.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2017,1635.0,55.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2018,1874.0,52.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2019,2779.0,48.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2020,2363.0,32.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2021,1541.0,-73.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2022,1665.0,25.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,Mar 2023,1520.0,-24.0
Nectar Lifescience Ltd,Pharmaceuticals,721.0,,TTM,1525.0,-3.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2011,107.0,10.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2012,167.0,16.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2013,202.0,21.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2014,210.0,15.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2015,193.0,18.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2016,319.0,22.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2017,317.0,-109.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2018,198.0,-104.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2019,43.0,-17.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2020,57.0,-15.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2021,45.0,2.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,Mar 2022,23.0,-13.0
Omkar Speciality Chemicals Ltd,Chemicals,18.2,,TTM,19.0,-13.0
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2012,0.86,0.18
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2013,1.49,1.35
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2014,1.05,0.06
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2015,1.26,0.37
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2016,1.39,0.27
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2017,1.14,0.14
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2018,1.33,0.08
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2019,2.19,0.45
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2020,2.59,0.59
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2021,2.14,0.19
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2022,2.81,0.36
V B Desai Financial Services Ltd,Finance,7.05,23.5,Mar 2023,2.77,0.31
V B Desai Financial Services Ltd,Finance,7.05,23.5,TTM,2.4,0.3
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2011,23.07,0.48
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2012,31.08,0.52
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2015,33.3,0.41
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2016,35.26,2.68
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2017,38.31,0.85
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2018,51.29,2.9
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2019,64.85,3.7
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2020,59.96,2.85
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2021,79.62,3.44
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2022,87.41,3.4
Sonam Ltd,Consumer Durables,142.0,37.3,Mar 2023,82.61,4.0
Sonam Ltd,Consumer Durables,142.0,37.3,TTM,81.48,3.81
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2012,0.16,0.03
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2013,0.17,0.04
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2014,0.18,0.04
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2015,0.23,0.02
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2016,0.3,0.02
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2017,0.29,0.02
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2018,0.24,0.01
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2019,0.26,0.01
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2020,0.54,0.0
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2021,0.67,0.03
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2022,1.06,0.05
Vani Commercials Ltd,Finance,12.4,31.8,Mar 2023,1.88,-0.3
Vani Commercials Ltd,Finance,12.4,31.8,TTM,3.33,0.39
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2012,0.39,-0.61
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2013,5.0,-4.95
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2014,0.35,-0.18
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2015,0.45,-0.01
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2016,0.18,-0.07
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2017,0.14,-0.03
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2018,0.61,-0.06
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2019,6.65,-0.63
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2020,3.62,0.16
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2021,1.17,0.03
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2022,1.52,-0.45
Goyal Associates Ltd,Finance,8.78,12.9,Mar 2023,3.41,0.58
Goyal Associates Ltd,Finance,8.78,12.9,TTM,3.98,0.68
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2012,2669.0,148.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2013,3013.0,167.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2014,3120.0,156.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2015,3254.0,152.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2016,1591.0,164.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2017,1702.0,155.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2018,1720.0,165.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2019,1772.0,197.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2020,1532.0,155.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2021,1526.0,115.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2022,2051.0,134.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,Mar 2023,2312.0,168.0
Balmer Lawrie _ Company Ltd,Diversified,3742.0,19.0,TTM,2300.0,196.0
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2012,22.14,-2.79
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2013,24.99,0.08
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2014,24.82,0.22
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2015,23.68,0.08
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2016,25.29,0.09
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2017,25.52,0.04
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2018,28.31,0.09
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2019,31.54,0.16
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2020,26.7,-0.09
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2021,22.66,0.05
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2022,30.06,0.88
Fine Line Circuits Ltd,Electronics,31.5,,Mar 2023,27.46,0.07
Fine Line Circuits Ltd,Electronics,31.5,,TTM,23.6,-0.18
Samor Reality Ltd,Construction,189.0,,Mar 2019,8.3,0.11
Samor Reality Ltd,Construction,189.0,,Mar 2020,1.06,-0.09
Samor Reality Ltd,Construction,189.0,,Mar 2021,9.64,0.1
Samor Reality Ltd,Construction,189.0,,Mar 2022,17.32,0.11
Samor Reality Ltd,Construction,189.0,,Mar 2023,13.75,0.13
Samor Reality Ltd,Construction,189.0,,TTM,3.47,-0.08
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2012,541.0,12.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2013,650.0,28.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2014,695.0,29.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2015,627.0,24.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2016,562.0,32.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2017,450.0,39.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2018,481.0,21.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2019,523.0,19.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2020,481.0,17.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2021,500.0,27.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2022,560.0,16.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,Mar 2023,599.0,14.0
India Power Corporation Ltd,Power Generation & Distribution,1904.0,137.0,TTM,631.0,14.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2012,116.0,1.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2013,113.0,2.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2014,120.0,5.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2015,93.0,2.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2016,98.0,3.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2017,84.0,1.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2018,86.0,1.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2019,109.0,1.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2020,133.0,2.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2021,173.0,3.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2022,238.0,7.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,Mar 2023,233.0,9.0
Golkunda Diamonds _ Jewellery Ltd,Diamond Gems and Jewellery,99.3,15.0,TTM,211.0,7.0
Service Care Ltd,Miscellaneous,63.9,13.5,Mar 2020,108.0,1.0
Service Care Ltd,Miscellaneous,63.9,13.5,Mar 2021,89.0,0.0
Service Care Ltd,Miscellaneous,63.9,13.5,Mar 2022,115.0,2.0
Service Care Ltd,Miscellaneous,63.9,13.5,Mar 2023,159.0,4.0
Service Care Ltd,Miscellaneous,63.9,13.5,TTM,174.0,5.0
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2012,42.93,1.68
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2013,45.65,2.09
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2014,45.83,2.13
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2015,45.08,2.1
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2016,44.83,1.95
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2017,44.79,1.81
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2018,45.68,2.22
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2019,78.0,2.63
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2020,115.25,4.69
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2021,114.98,3.26
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2022,96.42,-19.21
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,Mar 2023,88.9,2.87
KHFM Hospitality _ Facility Mgt. Services Ltd,Hotels & Restaurants,104.0,31.7,TTM,98.86,3.28
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2012,23.58,0.42
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2013,31.56,0.73
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2014,39.8,1.2
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2015,33.76,0.76
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2016,33.89,0.72
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2017,25.5,0.0
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2018,23.77,1.23
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2019,21.16,-0.9
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2020,17.98,-1.28
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2021,14.34,-3.1
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2022,9.17,-2.31
Glittek Granites Ltd,Miscellaneous,9.73,,Mar 2023,13.42,-0.78
Glittek Granites Ltd,Miscellaneous,9.73,,TTM,13.91,-0.74
Vivaa Tradecom Ltd,Trading,11.5,44.4,2019-03-01,73.0,1.0
Vivaa Tradecom Ltd,Trading,11.5,44.4,2020-03-01,98.0,0.0
Vivaa Tradecom Ltd,Trading,11.5,44.4,2021-03-01,146.0,-0.0
Vivaa Tradecom Ltd,Trading,11.5,44.4,2022-03-01,242.0,0.0
Vivaa Tradecom Ltd,Trading,11.5,44.4,2023-03-01,134.0,0.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2012,1393.0,9.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2013,1602.0,50.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2014,1722.0,45.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2015,2073.0,28.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2016,2381.0,55.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2017,1894.0,278.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2018,2373.0,63.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2019,2515.0,83.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2020,2726.0,-169.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2021,2473.0,148.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2022,2681.0,96.0
Heritage Foods Ltd,FMCG,2814.0,39.8,Mar 2023,3241.0,58.0
Heritage Foods Ltd,FMCG,2814.0,39.8,TTM,3506.0,71.0
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2012,0.6,0.03
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2013,4.94,0.06
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2014,0.11,0.03
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2015,0.08,0.05
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2016,1.05,-0.51
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2017,3.93,0.13
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2018,6.46,-1.74
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2019,9.31,1.38
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2020,10.17,0.55
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2021,1.72,-3.12
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2022,4.61,-1.4
SDC Techmedia Ltd,Entertainment,6.49,,Mar 2023,11.3,0.33
SDC Techmedia Ltd,Entertainment,6.49,,TTM,10.42,-2.04
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2012,6640.0,417.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2013,7351.0,445.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2014,7738.0,510.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2015,7993.0,273.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2016,6637.0,-37.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2017,6780.0,455.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2018,6815.0,556.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2019,7252.0,457.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2020,9637.0,460.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2021,11602.0,930.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2022,12425.0,1015.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,Mar 2023,13783.0,1320.0
Tata Consumer Products Ltd,Plantation & Plantation Products,100965.0,81.8,TTM,14568.0,1356.0
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2012,4.35,0.94
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2013,3.4,0.34
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2014,1.15,-0.28
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2015,0.51,-0.25
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2016,0.44,-0.39
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2017,0.48,-0.35
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2018,0.32,-0.38
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2019,0.92,0.27
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2020,1.12,0.15
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2021,1.21,0.13
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2022,1.17,0.17
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,Mar 2023,0.61,-0.09
Kachchh Minerals Ltd,Mining & Mineral products,16.0,84.0,TTM,1.55,0.19
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2012,24.62,0.47
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2013,20.85,0.22
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2014,23.55,0.14
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2015,23.33,0.57
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2016,34.56,0.75
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2017,33.72,1.09
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2018,47.24,1.24
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2019,54.51,2.19
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2020,43.91,1.72
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2021,60.89,2.78
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2022,83.44,3.47
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,Mar 2023,69.22,1.55
Polymechplast Machines Ltd,Capital Goods-Non Electrical Equipment,33.0,71.8,TTM,62.23,0.46
Shah Foods Ltd,FMCG,10.5,,Mar 2012,2.64,0.03
Shah Foods Ltd,FMCG,10.5,,Mar 2013,2.39,0.0
Shah Foods Ltd,FMCG,10.5,,Mar 2014,3.73,0.04
Shah Foods Ltd,FMCG,10.5,,Mar 2015,4.71,0.13
Shah Foods Ltd,FMCG,10.5,,Mar 2016,5.06,0.21
Shah Foods Ltd,FMCG,10.5,,Mar 2017,5.4,0.51
Shah Foods Ltd,FMCG,10.5,,Mar 2018,5.39,0.12
Shah Foods Ltd,FMCG,10.5,,Mar 2019,5.51,0.12
Shah Foods Ltd,FMCG,10.5,,Mar 2020,1.02,-1.72
Shah Foods Ltd,FMCG,10.5,,Mar 2021,0.09,-0.55
Shah Foods Ltd,FMCG,10.5,,Mar 2022,0.0,-0.27
Shah Foods Ltd,FMCG,10.5,,Mar 2023,0.0,-0.21
Shah Foods Ltd,FMCG,10.5,,TTM,0.0,-0.18
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2012,,4.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2013,,4.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2014,,7.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2015,,8.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2016,,13.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2017,,16.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2018,,18.0
CSL Finance Ltd,Finance,1037.0,20.0,Mar 2019,,24.0
